id;KOV;maakond;nimekiri;partei;nr;haali;ehaali
id_2633;Kasep‰‰ vald;Jıgeva;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr150;0;0
id_12364;Tori vald;P‰rnu;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr123;34;11
id_4972;L¸manda vald;Saare;Valimisliit Elujıuline Koduvald;Muu;nr133;12;3
id_10713;Tallinn 5;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr570;9;1
id_12375;Tori vald;P‰rnu;VALIMISLIIT KODUVALD;Muu;nr131;22;2
id_13225;Vasalemma vald;Harju;Eesti Reformierakond;Eesti Reformierakond;nr153;7;1
id_1118;Hanila vald;L‰‰ne;Valimisliit Hanila kogukond;Muu;nr122;17;5
id_2219;Kadrina vald;L‰‰ne-Viru;Valimisliit Koduvald;Muu;nr138;16;2
id_1012;Halinga vald;P‰rnu;Valimisliit Koduvald;Muu;nr133;27;1
id_14287;Vıru linn;Vıru;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr127;317;92
id_6264;Otep‰‰ vald;Valga;Valimisliit Otep‰‰;Muu;nr143;4;1
id_4086;Kuressaare linn;Saare;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr194;39;13
id_3726;Kose vald;Harju;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr221;21;7
id_2816;Keila linn;Harju;Eesti Keskerakond;Eesti Keskerakond;nr211;21;2
id_3381;Kohtla-J‰rve linn;Ida-Viru;Eesti Keskerakond;Eesti Keskerakond;nr154;17;1
id_7528;P‰rnu linn;P‰rnu;Toomas Kivim‰gi Valimisliit;Muu;nr244;53;12
id_3342;Kohila vald;Rapla;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr143;4;1
id_6628;Pajusi vald;Jıgeva;Valimisliit Pajusi;Muu;nr111;17;3
id_13820;Viljandi vald;Viljandi;Valimisliit Vabad Vallakodanikud;Muu;nr220;7;0
id_5268;Misso vald;Vıru;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr112;5;4
id_13392;Vihula vald;L‰‰ne-Viru;Valimisliit Vaba Vallakodanik;Muu;nr165;14;2
id_3620;Konguta vald;Tartu;Valimisliit Ettevıtlik Konguta;Muu;nr125;5;4
id_1016;Haljala vald;L‰‰ne-Viru;Valimisliit Maheda;Muu;nr115;25;8
id_14214;Vınnu vald;Tartu;Valimisliit ÑOma inimesedì.;Muu;nr143;5;1
id_10443;Tallinn 4;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr1101;12;2
id_12948;Valga linn;Valga;Eesti Keskerakond;Eesti Keskerakond;nr163;5;1
id_1882;Jıgeva vald;Jıgeva;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr222;17;3
id_13458;Viimsi vald;Harju;‹le-eestiline Valimisliit;Muu;nr158;4;2
id_13885;Viljandi vald;Viljandi;Valimisliit Viljandi vald;Muu;nr250;45;3
id_12379;Torma vald;Jıgeva;Eesti Reformierakond;Eesti Reformierakond;nr125;12;3
id_4468;Laheda vald;Pılva;Eesti Reformierakond;Eesti Reformierakond;nr124;6;0
id_12110;Tartu vald;Tartu;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr209;13;3
id_14541;V‰ndra vald;P‰rnu;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr125;4;3
id_7970;Rakke vald;L‰‰ne-Viru;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr138;58;16
id_2232;Kadrina vald;L‰‰ne-Viru;Valimisliit Koduvald;Muu;nr126;89;10
id_8301;Rapla vald;Rapla;Valimisliit Rapla Vallakodanike Liit;Muu;nr176;34;12
id_2084;J‰rva-Jaani vald;J‰rva;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr116;8;0
id_11013;Tallinn 6;Tallinna linn;Eesti Konservatiivne Rahvaerakond;Muu;nr1643;18;4
id_6064;Nıo vald;Tartu;N’O.EU VALIMISLIIT;Muu;nr117;6;1
id_185;Alatskivi vald;Tartu;Alatskivi parteitute valimisliit;Muu;nr105;33;9
id_4942;L¸ganuse vald;Ida-Viru;Valimisliit Hooliv Vald;Muu;nr106;25;5
id_2442;Kanepi vald;Pılva;Eesti Reformierakond;Eesti Reformierakond;nr121;14;8
id_10762;Tallinn 5;Tallinna linn;‹le-eestiline Valimisliit;Muu;nr775;3;1
id_9605;Sımerpalu vald;Vıru;Eesti Reformierakond;Eesti Reformierakond;nr117;6;1
id_7334;Pılva vald;Pılva;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr140;15;1
id_1038;Haljala vald;L‰‰ne-Viru;Valimisliit Maheda;Muu;nr112;32;18
id_10196;Tallinn 2;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr985;46;2
id_8931;Saku vald;Harju;Eesti Reformierakond;Eesti Reformierakond;nr142;33;4
id_4804;L‰‰ne-Nigula vald;L‰‰ne;Valimisliit Tasakaal;Muu;nr143;34;6
id_9390;Sillam‰e linn;Ida-Viru;Eesti Keskerakond;Eesti Keskerakond;nr164;11;1
id_2362;Kambja vald;Tartu;Valimisliit Koduvald;Muu;nr111;12;2
id_7190;Pıltsamaa linn;Jıgeva;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr158;25;7
id_3836;Kose vald;Harju;VALIMISLIIT "‹HTSELT";Muu;nr242;45;7
id_9842;Tallinn 1;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr959;10;0
id_6932;Peipsi‰‰re vald;Tartu;Valimisliit "Meie ja Teie vabaduse eest";Muu;nr104;28;0
id_7092;Puka vald;Valga;Eesti Keskerakond;Eesti Keskerakond;nr105;12;4
id_8403;Ridala vald;L‰‰ne;VALIMISLIIT ‹HTNE RIDALA;Muu;nr113;14;0
id_3560;Koigi vald;J‰rva;Eesti Reformierakond;Eesti Reformierakond;nr123;2;1
id_9348;Sillam‰e linn;Ida-Viru;Eesti Keskerakond;Eesti Keskerakond;nr147;20;2
id_9924;Tallinn 1;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr922;19;0
id_195;Alatskivi vald;Tartu;Alatskivi parteitute valimisliit;Muu;nr110;4;0
id_5871;Narva linn;Ida-Viru;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr227;171;12
id_14343;Vıru linn;Vıru;Valimisliit "Vıru V‰‰rib Vıimekust";Muu;nr246;11;6
id_4167;Kuusalu vald;Harju;Eesti Reformierakond;Eesti Reformierakond;nr212;6;3
id_9828;Tahkuranna vald;P‰rnu;Valimisliit Koostˆˆ;Muu;nr106;85;13
id_13480;Viimsi vald;Harju;VALIMISLIIT RANNARAHVAS;Muu;nr218;9;5
id_3257;Kohila vald;Rapla;Eesti Keskerakond;Eesti Keskerakond;nr125;4;0
id_10777;Tallinn 5;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr1167;6;0
id_8763;Saarde vald;P‰rnu;VALIMISLIIT  KODUVALD;Muu;nr151;22;7
id_7997;Rakke vald;L‰‰ne-Viru;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr139;40;6
id_2915;Keila vald;Harju;Valimisliit "Oma k¸la";Muu;nr193;1;1
id_988;Halinga vald;P‰rnu;Eesti Reformierakond;Eesti Reformierakond;nr107;5;1
id_7513;P‰rnu linn;P‰rnu;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr181;1008;261
id_11719;Tartu linn;Tartu linn;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr205;50;14
id_12783;Urvaste vald;Vıru;Eesti Keskerakond;Eesti Keskerakond;nr137;12;1
id_10037;Tallinn 2;Tallinna linn;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr1434;29;10
id_2040;Jıhvi vald;Ida-Viru;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr129;47;8
id_3024;Kihnu vald;P‰rnu;Valimisliit "Parem Kihnu";Muu;nr102;31;5
id_4895;L¸ganuse vald;Ida-Viru;Ole Meiega Valimisliit;Muu;nr143;2;0
id_2932;Kernu vald;Harju;Eesti Reformierakond;Eesti Reformierakond;nr143;16;3
id_4055;Kuressaare linn;Saare;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr201;13;2
id_12183;Tartu vald;Tartu;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr112;10;1
id_4406;Laekvere vald;L‰‰ne-Viru;Eesti Keskerakond;Eesti Keskerakond;nr151;3;0
id_12843;Vaivara vald;Ida-Viru;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr106;6;2
id_13888;Viljandi vald;Viljandi;Valimisliit Viljandi vald;Muu;nr253;11;2
id_3050;Kiili vald;Harju;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr128;7;2
id_14068;Viru-Nigula vald;L‰‰ne-Viru;Eesti Keskerakond;Eesti Keskerakond;nr105;6;0
id_11904;Tartu linn;Tartu linn;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr165;418;126
id_6527;Paide vald;J‰rva;Valimisliit Meie Vald;Muu;nr133;19;6
id_10349;Tallinn 3;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr1048;13;2
id_1972;Jıhvi vald;Ida-Viru;Valimisliit Jıhvi-meie kodu;Muu;nr197;11;0
id_1375;Hiiu vald;Hiiu;Valimisliit Vabad Hiiumaa Kodanikud;Muu;nr129;7;4
id_3416;Kohtla-J‰rve linn;Ida-Viru;Eesti Keskerakond;Eesti Keskerakond;nr204;25;1
id_7831;Rae vald;Harju;Eesti Reformierakond;Eesti Reformierakond;nr183;85;41
id_1428;Hummuli vald;Valga;Eesti Reformierakond;Eesti Reformierakond;nr123;9;6
id_10330;Tallinn 3;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr1025;654;33
id_7668;Pˆide vald;Saare;Valimisliit Oma Vald;Muu;nr125;5;2
id_13331;Veriora vald;Pılva;Valimisliit Koduvald Veriora;Muu;nr118;2;0
id_9514;Surju vald;P‰rnu;Valimisliit Koostˆˆ;Muu;nr113;19;3
id_12928;Valga linn;Valga;Valimisliit Meie Valga;Muu;nr106;3;0
id_9445;Sindi linn;P‰rnu;Eesti Keskerakond;Eesti Keskerakond;nr147;46;1
id_2802;Keila linn;Harju;Eesti Reformierakond;Eesti Reformierakond;nr125;24;13
id_4467;Laheda vald;Pılva;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr111;13;1
id_6261;Otep‰‰ vald;Valga;Eesti Reformierakond;Eesti Reformierakond;nr130;5;1
id_9508;Surju vald;P‰rnu;Valimisliit Koostˆˆ;Muu;nr118;20;6
id_544;Aseri vald;Ida-Viru;Eesti Keskerakond;Eesti Keskerakond;nr136;23;0
id_367;Anija vald;Harju;Eesti Keskerakond;Eesti Keskerakond;nr192;50;1
id_13870;Viljandi vald;Viljandi;Valimisliit Viljandi vald;Muu;nr265;17;5
id_5318;Mooste vald;Pılva;Omakandi valimisliit;Muu;nr115;2;1
id_14587;V‰ndra vald (alev);P‰rnu;Valimisliit V‰ndralane;Muu;nr129;14;3
id_8025;Rakvere linn;L‰‰ne-Viru;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr196;5;0
id_13586;Viimsi vald;Harju;Eesti Keskerakond;Eesti Keskerakond;nr191;30;2
id_8013;Rakvere linn;L‰‰ne-Viru;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr188;64;20
